Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-28 04:59:02,32.3182,-86.9023,81115,1491,32510.0,47114.0,1,1654.3328469148114,657959.0,9694.0,1.8381310485113729,84000001,USA,13419.012335859243,11.95093385933551
Alaska,US,2020-07-28 04:59:02,61.3707,-152.4044,2623,21,817.0,1785.0,2,358.55620638511635,207368.0,,0.8006099885627145,84000002,USA,28346.581550007177,
American Samoa,US,2020-07-28 04:59:02,-14.271,-170.132,0,0,,0.0,60,0.0,1037.0,,,16,ASM,1863.7335777574087,
Arizona,US,2020-07-28 04:59:02,33.7298,-111.4312,163827,3304,21321.0,139202.0,4,2250.7675459837224,878333.0,7751.0,2.0167615838659074,84000004,USA,12067.140404002519,4.731210362150316
Arkansas,US,2020-07-28 04:59:02,34.9697,-92.3731,39447,408,32365.0,6674.0,5,1307.14254471132,484891.0,2624.0,1.0342991862499051,84000005,USA,16067.677026075915,6.6519633939209575
California,US,2020-07-28 04:59:02,36.1162,-119.6816,458121,8494,,449627.0,6,1159.4412189868438,7296578.0,,1.8540953154297664,84000006,USA,18466.63499545445,
Colorado,US,2020-07-28 04:59:02,39.0598,-105.3111,44547,1799,5182.0,37566.0,8,773.5551690509861,497788.0,6268.0,4.038431319729724,84000008,USA,8644.049666454583,14.070532246840415
Connecticut,US,2020-07-28 04:59:02,41.5978,-72.7554,48983,4418,8516.0,36049.0,9,1373.8865903362055,745051.0,10712.0,9.01945572953882,84000009,USA,20897.363942930817,21.86881162852418
Delaware,US,2020-07-28 04:59:02,39.3185,-75.5071,14406,579,8035.0,5792.0,10,1479.4139031633952,173059.0,,4.019158683881716,84000010,USA,17772.170669689986,
Diamond Princess,US,2020-07-28 04:59:02,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-28 04:59:02,38.8974,-77.0268,11858,582,9639.0,1637.0,11,1669.1486633349814,174148.0,,4.932088285229202,84000011,USA,24675.62830411379,
Florida,US,2020-07-28 04:59:02,27.7663,-81.6868,432747,5931,,426816.0,12,2014.863111509373,3431497.0,24690.0,1.3705467628891708,84000012,USA,15976.9951554952,5.705412169235142
Georgia,US,2020-07-28 04:59:02,33.0406,-83.6431,170843,3509,,167334.0,13,1609.0816010627059,1452963.0,17138.0,2.053932557962574,84000013,USA,13684.704847871277,10.031432367729435
Grand Princess,US,2020-07-28 04:59:02,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-07-28 04:59:02,13.4443,144.7937,349,5,291.0,53.0,66,212.50814411583823,20481.0,,1.4326647564469914,316,GUM,12471.000858557258,
Hawaii,US,2020-07-28 04:59:02,21.0943,-157.4983,1711,26,1179.0,506.0,15,120.84425710798716,114115.0,163.0,1.5195791934541203,84000015,USA,8059.697486778466,9.526592635885445
Idaho,US,2020-07-28 04:59:02,44.2405,-114.4788,18692,152,5731.0,12809.0,16,1045.9608352242365,167994.0,741.0,0.8131821099935801,84000016,USA,9400.553421392058,3.964262786218703
Illinois,US,2020-07-28 04:59:02,40.3495,-88.9861,173894,7608,,166286.0,17,1372.2889551549065,2543376.0,,4.375079071158292,84000017,USA,20071.11685053001,
Indiana,US,2020-07-28 04:59:02,39.8494,-86.2583,62907,2906,44124.0,15877.0,18,934.4170176282145,707791.0,8444.0,4.619517700732827,84000018,USA,10513.48745487929,13.422989492425327
Iowa,US,2020-07-28 04:59:02,42.0115,-93.2105,42696,836,29873.0,11987.0,19,1353.2504825566468,454845.0,,1.958028855162076,84000019,USA,14416.320398596543,
Kansas,US,2020-07-28 04:59:02,38.5266,-96.7265,25804,333,1108.0,24363.0,20,885.7267016188437,278936.0,1644.0,1.2904975972717407,84000020,USA,9574.525780605867,6.371105254999225
Kentucky,US,2020-07-28 04:59:02,37.6681,-84.6701,27586,709,7466.0,19411.0,21,617.4579025815004,547450.0,3276.0,2.5701442760820705,84000021,USA,12253.582569718059,11.875589066918002
Louisiana,US,2020-07-28 04:59:02,31.1695,-91.8678,109917,3786,61456.0,44675.0,22,2364.4196752964317,1260022.0,,3.4444171511231203,84000022,USA,27104.276937201343,
Maine,US,2020-07-28 04:59:02,44.6939,-69.3819,3832,119,3292.0,421.0,23,285.07408057657574,157441.0,383.0,3.1054279749478084,84000023,USA,11712.512609618127,9.994780793319416
Maryland,US,2020-07-28 04:59:02,39.0639,-76.8021,84876,3447,5434.0,75995.0,24,1403.9115533736483,855518.0,12339.0,4.06121871907253,84000024,USA,14150.897831178629,14.537678495687823
Massachusetts,US,2020-07-28 04:59:02,42.2302,-71.5301,115926,8536,96452.0,10938.0,25,1681.9143930731695,1131157.0,11833.0,7.3633179787105565,84000025,USA,16411.411065036897,10.207373669409797
Michigan,US,2020-07-28 04:59:02,43.3266,-84.5361,87173,6405,57502.0,23266.0,26,872.8772225335757,1700489.0,,7.347458502059124,84000026,USA,17027.268939567275,
Minnesota,US,2020-07-28 04:59:02,45.6945,-93.9002,51803,1616,45198.0,4989.0,27,918.5528417457027,970726.0,4961.0,3.119510453062564,84000027,USA,17212.57699083912,9.57666544408625
