Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-06-10 04:07:14,32.3182,-86.9023,21422,729,11395.0,9298.0,1,436.8996886717511,267739.0,2087.0,3.4030436000373454,84000001,USA,5460.511891760152,9.742320978433387
Alaska,US,2020-06-10 04:07:14,61.3707,-152.4044,572,11,389.0,172.0,2,78.1906786322099,66890.0,,1.9230769230769231,84000002,USA,9143.661702287625,
American Samoa,US,2020-06-10 04:07:14,-14.271,-170.132,0,0,,0.0,60,0.0,174.0,,,16,ASM,312.7190381193724,
Arizona,US,2020-06-10 04:07:14,33.7298,-111.4312,28296,1076,5764.0,21456.0,4,388.749830498974,293213.0,3406.0,3.8026576194515127,84000004,USA,4028.361042200157,12.037037037037035
Arkansas,US,2020-06-10 04:07:14,34.9697,-92.3731,10080,161,6875.0,3044.0,5,334.01771619362955,165781.0,865.0,1.5972222222222223,84000005,USA,5493.431647648423,8.581349206349206
California,US,2020-06-10 04:07:14,36.1162,-119.6816,136641,4745,,131896.0,6,345.8195708198954,2486245.0,,3.4726033913686227,84000006,USA,6292.344017191845,
Colorado,US,2020-06-10 04:07:14,39.0598,-105.3111,28333,1553,4112.0,22668.0,8,492.0003278497226,221887.0,4859.0,5.481240955775951,84000008,USA,3853.0503916137154,17.149613524865
Connecticut,US,2020-06-10 04:07:14,41.5978,-72.7554,44179,4097,7284.0,32798.0,9,1239.1428796615812,312651.0,9669.0,9.273636795762695,84000009,USA,8769.308052900089,21.88596391950927
Delaware,US,2020-06-10 04:07:14,39.3185,-75.5071,10020,410,5888.0,3722.0,10,1028.9967589682922,70753.0,,4.091816367265469,84000010,USA,7265.928910906544,
Diamond Princess,US,2020-06-10 04:07:14,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-06-10 04:07:14,38.8974,-77.0268,9474,495,1143.0,7836.0,11,1342.4036024138893,57152.0,,5.224825839138696,84000011,USA,8098.063192438105,
Florida,US,2020-06-10 04:07:14,27.7663,-81.6868,66000,2765,,63235.0,12,307.2949445279081,1258305.0,11460.0,4.1893939393939394,84000012,USA,5858.6479571846885,17.363636363636363
Georgia,US,2020-06-10 04:07:14,33.0406,-83.6431,53249,2285,,50964.0,13,501.52471084556015,557183.0,8872.0,4.291160397378356,84000013,USA,5247.817667243738,16.661345752971886
Grand Princess,US,2020-06-10 04:07:14,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
