Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-01 04:36:46,32.3182,-86.9023,87723,1580,35401.0,50742.0,1,1789.1023895692292,689467.0,10521.0,1.8011239925675135,84000001,USA,14061.615052256851,11.993433877090387
Alaska,US,2020-08-01 04:36:46,61.3707,-152.4044,2990,23,898.0,2069.0,2,408.72400194109724,233106.0,,0.7692307692307693,84000002,USA,31864.888694475387,
American Samoa,US,2020-08-01 04:36:46,-14.271,-170.132,0,0,,0.0,60,0.0,1037.0,,,16,ASM,1863.7335777574087,
Arizona,US,2020-08-01 04:36:46,33.7298,-111.4312,174010,3694,22714.0,147602.0,4,2390.6685752447856,933743.0,11260.0,2.1228665019251767,84000004,USA,12828.400939341369,6.470892477443825
Arkansas,US,2020-08-01 04:36:46,34.9697,-92.3731,42511,453,35413.0,6645.0,5,1408.6733266971612,503469.0,2852.0,1.0656065488932276,84000005,USA,16683.290233560558,6.708851826586059
California,US,2020-08-01 04:36:46,36.1162,-119.6816,500556,9214,,491342.0,6,1266.8383654344125,7811041.0,,1.84075308257218,84000006,USA,19768.670064450693,
Colorado,US,2020-08-01 04:36:46,39.0598,-105.3111,46791,1838,5309.0,39644.0,8,812.5220534506184,526346.0,6413.0,3.9281058323181814,84000008,USA,9139.957101697315,13.705627150520401
Connecticut,US,2020-08-01 04:36:46,41.5978,-72.7554,49810,4432,8613.0,36765.0,9,1397.0824789140397,793996.0,10807.0,8.897811684400724,84000009,USA,22270.184700418227,21.69644649668741
Delaware,US,2020-08-01 04:36:46,39.3185,-75.5071,14788,585,8179.0,6024.0,10,1518.6431209204693,181047.0,,3.9559101974573982,84000010,USA,18592.4926368196,
Diamond Princess,US,2020-08-01 04:36:46,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-08-01 04:36:46,38.8974,-77.0268,12057,584,9816.0,1657.0,11,1708.39774480729,188741.0,,4.8436592850626194,84000011,USA,26743.36059987333,
Florida,US,2020-08-01 04:36:46,27.7663,-81.6868,470386,6843,,463543.0,12,2190.109693586433,3628088.0,26905.0,1.4547626842635624,84000012,USA,16892.319707611652,5.7197705714030596
Georgia,US,2020-08-01 04:36:46,33.0406,-83.6431,186352,3752,,182600.0,13,1755.1528275740734,1574687.0,18689.0,2.01339400704044,84000013,USA,14831.160065865324,10.028870095303512
Grand Princess,US,2020-08-01 04:36:46,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-08-01 04:36:46,13.4443,144.7937,356,5,304.0,47.0,66,216.77048511529634,21882.0,,1.404494382022472,316,GUM,13324.07796430594,
Hawaii,US,2020-08-01 04:36:46,21.0943,-157.4983,2111,26,1226.0,859.0,15,149.09539845409753,121368.0,177.0,1.231643770724775,84000015,USA,8571.961307236812,8.384651823780201
