Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-22 04:34:54,32.3182,-86.9023,70358,1303,29736.0,39319.0,1,1434.9448368764386,600381.0,8538.0,1.8519571335171552,84000001,USA,12244.71440502449,12.135080587850707
Alaska,US,2020-07-22 04:34:54,61.3707,-152.4044,2042,18,737.0,1287.0,2,279.1352548373648,178626.0,,0.8814887365328109,84000002,USA,24417.63664572925,
American Samoa,US,2020-07-22 04:34:54,-14.271,-170.132,0,0,,0.0,60,0.0,1037.0,,,16,ASM,1863.7335777574087,
Arizona,US,2020-07-22 04:34:54,33.7298,-111.4312,148683,2918,18863.0,126902.0,4,2042.7089004834231,807666.0,6894.0,1.96256465096884,84000004,USA,11096.26875175941,4.636710316579569
Arkansas,US,2020-07-22 04:34:54,34.9697,-92.3731,34655,374,27283.0,6998.0,5,1148.3515828065704,439635.0,2257.0,1.0792093493002453,84000005,USA,14568.043517736738,6.51276872024239
California,US,2020-07-22 04:34:54,36.1162,-119.6816,409305,7888,,401417.0,6,1035.8946394891523,6536932.0,,1.9271692258828992,84000006,USA,16544.075487729457,
Colorado,US,2020-07-22 04:34:54,39.0598,-105.3111,41041,1763,5019.0,34259.0,8,712.6737534069977,451299.0,6057.0,4.295704295704296,84000008,USA,7836.7718193714745,14.75841231938793
Connecticut,US,2020-07-22 04:34:54,41.5978,-72.7554,48096,4406,8466.0,35224.0,9,1349.0078077865821,662837.0,10654.0,9.160844976713241,84000009,USA,18591.40652631892,22.151530272787763
Delaware,US,2020-07-22 04:34:54,39.3185,-75.5071,13746,525,7362.0,5859.0,10,1411.635673530753,158347.0,,3.819292885202968,84000010,USA,16261.332314606003,
Diamond Princess,US,2020-07-22 04:34:54,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-22 04:34:54,38.8974,-77.0268,11427,580,1932.0,8915.0,11,1619.1308808088995,155711.0,,5.0756979084624145,84000011,USA,22063.226444529144,
Florida,US,2020-07-22 04:34:54,27.7663,-81.6868,369834,5206,,364628.0,12,1721.941189614157,3099750.0,22123.0,1.407658571142729,84000012,USA,14432.386428793685,5.981872948403878
Georgia,US,2020-07-22 04:34:54,33.0406,-83.6431,148988,3254,,145734.0,13,1403.2406922093994,1295291.0,15494.0,2.1840685155851483,84000013,USA,12199.674064036068,10.399495261363333
Grand Princess,US,2020-07-22 04:34:54,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-07-22 04:34:54,13.4443,144.7937,319,5,235.0,79.0,66,194.2409684038751,18757.0,,1.567398119122257,316,GUM,11421.247160976443,
Hawaii,US,2020-07-22 04:34:54,21.0943,-157.4983,1418,24,1057.0,337.0,15,100.15029607196131,106783.0,150.0,1.6925246826516216,84000015,USA,7541.854065904263,10.578279266572636
Idaho,US,2020-07-22 04:34:54,44.2405,-114.4788,15823,126,4335.0,11362.0,16,885.4182696208587,151071.0,621.0,0.7963091701952854,84000016,USA,8453.581710793955,3.924666624533906
Illinois,US,2020-07-22 04:34:54,40.3495,-88.9861,164864,7517,,157347.0,17,1301.0284788587212,2310029.0,,4.5595157220496905,84000017,USA,18229.653023034334,
Indiana,US,2020-07-22 04:34:54,39.8494,-86.2583,57916,2846,41322.0,13748.0,18,860.2809861057698,644805.0,7941.0,4.9140133987153805,84000018,USA,9577.896975722271,13.71123696387872
Iowa,US,2020-07-22 04:34:54,42.0115,-93.2105,39721,806,28388.0,10527.0,19,1258.9578044227228,422433.0,,2.0291533445784347,84000019,USA,13389.021479713603,
Kansas,US,2020-07-22 04:34:54,38.5266,-96.7265,22929,316,1016.0,21597.0,20,787.0418362044051,261531.0,1497.0,1.3781673862793842,84000020,USA,8977.096186679499,6.528849928038729
Kentucky,US,2020-07-22 04:34:54,37.6681,-84.6701,24060,674,6927.0,16459.0,21,538.5353851994092,508693.0,2900.0,2.801330008312552,84000021,USA,11386.083986003452,12.05320033250208
Louisiana,US,2020-07-22 04:34:54,31.1695,-91.8678,96583,3498,53288.0,39797.0,22,2077.5925971337947,1122962.0,,3.6217553813818166,84000022,USA,24155.985401805287,
Maine,US,2020-07-22 04:34:54,44.6939,-69.3819,3723,118,3191.0,414.0,23,276.9652406019289,142243.0,377.0,3.1694869728713404,84000023,USA,10581.887380859567,10.126242277733011
Maryland,US,2020-07-22 04:34:54,39.0639,-76.8021,79545,3402,5380.0,70763.0,24,1315.7328869539904,764367.0,11949.0,4.276824438996794,84000024,USA,12643.193156104857,15.021685838204787
Massachusetts,US,2020-07-22 04:34:54,42.2302,-71.5301,114033,8450,95390.0,10193.0,25,1654.4497695539633,1059181.0,11746.0,7.410135662483668,84000025,USA,15367.146013574458,10.300527040418123
Michigan,US,2020-07-22 04:34:54,43.3266,-84.5361,83059,6382,55162.0,21515.0,26,831.6830810734548,1529375.0,,7.683694723028209,84000026,USA,15313.87702857866,
Minnesota,US,2020-07-22 04:34:54,45.6945,-93.9002,47457,1588,41511.0,4358.0,27,841.4910760134703,876859.0,4723.0,3.3461870746149147,84000027,USA,15548.159879935427,9.952167225066903
Mississippi,US,2020-07-22 04:34:54,32.7416,-89.6787,45524,1389,30315.0,13820.0,28,1529.6277168918625,395198.0,3797.0,3.0511378613478604,84000028,USA,13278.837853884332,8.34065547842896
Missouri,US,2020-07-22 04:34:54,38.4561,-92.2884,35194,1148,,34046.0,29,573.432388942078,580320.0,,3.261919645394101,84000029,USA,9455.426605411907,
Montana,US,2020-07-22 04:34:54,46.9219,-110.4544,2711,40,1493.0,1178.0,30,253.65417327078214,141002.0,174.0,1.4754703061600885,84000030,USA,13192.82395408588,6.418295831796385
Nebraska,US,2020-07-22 04:34:54,41.1254,-98.2681,23190,310,17237.0,5643.0,31,1198.8163820662446,238441.0,1502.0,1.3367830961621388,84000031,USA,12326.30344787656,6.476929711082362
Nevada,US,2020-07-22 04:34:54,38.3135,-117.0554,37528,676,874.0,35978.0,32,1218.379848293398,398822.0,,1.8013216798124068,84000032,USA,12948.110420381303,
New Hampshire,US,2020-07-22 04:34:54,43.4525,-71.5639,6262,400,5286.0,576.0,33,460.5390410168043,144822.0,673.0,6.387735547748322,84000033,USA,10650.939795294737,10.747365059086556
New Jersey,US,2020-07-22 04:34:54,40.2989,-74.521,177256,15737,31781.0,129738.0,34,1995.633959642836,1817955.0,21099.0,8.878119781558878,84000034,USA,20467.418508273302,11.903123166493659
New Mexico,US,2020-07-22 04:34:54,34.8405,-106.2485,17517,588,6814.0,10115.0,35,835.4043176625274,476497.0,2399.0,3.356739167665696,84000035,USA,22724.647551135553,13.695267454472797
New York,US,2020-07-22 04:34:54,42.1657,-74.9481,408181,32520,72302.0,303359.0,36,2098.2328119772005,5230981.0,89995.0,7.967053831511022,84000036,USA,26889.580781636847,22.04781702235038
North Carolina,US,2020-07-22 04:34:54,35.6301,-79.8064,103216,1705,78707.0,22804.0,37,984.1263666461864,1458997.0,,1.6518756781894282,84000037,USA,13910.996517571753,
North Dakota,US,2020-07-22 04:34:54,47.5289,-99.784,5207,94,4319.0,794.0,38,683.2777385567052,137293.0,309.0,1.80526214710966,84000038,USA,18015.98820043513,5.934319185711543
Northern Mariana Islands,US,2020-07-22 04:34:54,15.0979,145.6739,38,2,29.0,7.0,69,68.91048890178442,11093.0,4.0,5.2631578947368425,580,MNP,20116.422457565648,10.526315789473683
Ohio,US,2020-07-22 04:34:54,40.3888,-82.7649,77215,3219,53077.0,20919.0,39,660.5726702654609,1200023.0,9736.0,4.168879103801075,84000039,USA,10266.171048241524,12.608949038399274
Oklahoma,US,2020-07-22 04:34:54,35.5653,-96.9289,26326,461,19750.0,6115.0,40,665.3068723526153,497490.0,2403.0,1.7511205652206945,84000040,USA,12572.49547696963,9.127858390944313
Oregon,US,2020-07-22 04:34:54,44.572,-122.0709,15139,269,3381.0,11489.0,41,358.9365576848438,345263.0,1406.0,1.7768676927141818,84000041,USA,8185.977456631364,9.287271286082305
Pennsylvania,US,2020-07-22 04:34:54,40.5908,-77.2098,107460,7051,77073.0,23336.0,42,839.4008149827342,1055763.0,,6.561511260003723,84000042,USA,8246.866951690086,
Puerto Rico,US,2020-07-22 04:34:54,18.2208,-66.5901,12940,180,,12760.0,72,441.1251349965637,205626.0,,1.3910355486862442,630,PRI,7009.798841484035,
Rhode Island,US,2020-07-22 04:34:54,41.6809,-71.5118,17986,996,1741.0,15249.0,44,1697.8159475381858,184964.0,2116.0,5.537640386967641,84000044,USA,17459.959352855163,11.764705882352944
South Carolina,US,2020-07-22 04:34:54,33.8569,-80.945,73337,1221,27062.0,45054.0,45,1424.375096383291,598693.0,4498.0,1.6649167541622918,84000045,USA,11628.010411920337,6.133329697151506
South Dakota,US,2020-07-22 04:34:54,44.2998,-99.4388,8019,118,7081.0,820.0,46,906.450960200484,99845.0,776.0,1.4715051752088788,84000046,USA,11286.269624793282,9.677017084424492
Tennessee,US,2020-07-22 04:34:54,35.7478,-86.6923,81944,871,47852.0,33221.0,47,1199.9108530548494,1238233.0,3798.0,1.0629210192326466,84000047,USA,18131.51927304825,4.6348725959191635
Texas,US,2020-07-22 04:34:54,31.0545,-97.5635,351071,4199,186529.0,160343.0,48,1210.761625073575,3043574.0,,1.1960543593745994,84000048,USA,10496.573634027536,
Utah,US,2020-07-22 04:34:54,40.15,-111.8624,35012,251,22032.0,12729.0,49,1092.091661837117,475443.0,2109.0,0.7168970638638181,84000049,USA,14829.982176934318,6.023649034616701
Vermont,US,2020-07-22 04:34:54,44.0459,-72.7107,1366,56,1148.0,162.0,50,218.91411547318944,84947.0,,4.099560761346998,84000050,USA,13613.541264349209,
Virgin Islands,US,2020-07-22 04:34:54,18.3358,-64.8963,304,6,158.0,140.0,78,283.4023194242458,7161.0,,1.973684210526316,850,VIR,6675.802662490211,
Virginia,US,2020-07-22 04:34:54,37.7693,-78.17,79371,2048,10235.0,67088.0,51,929.8907307218227,940092.0,11424.0,2.5802875105517127,84000051,USA,11013.882108399033,14.393166269796273
Washington,US,2020-07-22 04:34:54,47.4009,-121.4905,48575,1465,,47110.0,53,637.8947150012483,826354.0,5102.0,3.0159547092125583,84000053,USA,10851.813676173782,10.503345342254246
West Virginia,US,2020-07-22 04:34:54,38.4912,-80.9545,5172,101,3546.0,1525.0,54,288.5923978334367,240326.0,,1.9528228924980664,84000054,USA,13409.949072258025,
Wisconsin,US,2020-07-22 04:34:54,44.2685,-89.6165,44135,859,33902.0,9374.0,55,758.0163210093922,798398.0,4194.0,1.9463011215588533,84000055,USA,13712.44397102655,9.502662286167439
Wyoming,US,2020-07-22 04:34:54,42.756,-107.3025,2238,25,1694.0,519.0,56,386.6894510495733,44165.0,146.0,1.1170688114387846,84000056,USA,7630.98284432726,6.523681858802504
