Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-16 02:32:24,32.3182,-86.9023,11373,483,,10890.0,1,231.95127248920852,146063.0,1377.0,4.246900553943552,84000001,USA,2978.9412392149184,12.10762331838565
Alaska,US,2020-05-16 02:32:24,61.3707,-152.4044,388,10,343.0,35.0,2,53.03843235891162,32418.0,,2.5773195876288657,84000002,USA,4431.4430417814365,
American Samoa,US,2020-05-16 02:32:24,-14.271,-170.132,0,0,,0.0,60,0.0,105.0,,,16,ASM,188.70976438237992,
Arizona,US,2020-05-16 02:32:24,33.7298,-111.4312,13169,651,3145.0,9373.0,4,180.9247426435181,142001.0,1629.0,4.943427746981548,84000004,USA,1950.907007375064,12.36995975396765
Arkansas,US,2020-05-16 02:32:24,34.9697,-92.3731,4463,98,3390.0,975.0,5,147.888994778985,81529.0,520.0,2.1958323997311227,84000005,USA,2701.6002364633355,11.651355590410038
California,US,2020-05-16 02:32:24,36.1162,-119.6816,76693,3136,,73557.0,6,194.09943095330271,1133906.0,,4.089030289596182,84000006,USA,2869.760073990269,
Colorado,US,2020-05-16 02:32:24,39.0598,-105.3111,21232,1150,3217.0,16865.0,8,368.6920185262877,118030.0,3789.0,5.416352675207233,84000008,USA,2049.581713764965,17.84570459683497
Connecticut,US,2020-05-16 02:32:24,41.5978,-72.7554,36085,3285,6264.0,26536.0,9,1012.1204828671576,155908.0,10946.0,9.103505611750032,84000009,USA,4372.943889229676,30.33393376749342
Delaware,US,2020-05-16 02:32:24,39.3185,-75.5071,7373,271,3210.0,3892.0,10,757.1649804264688,38278.0,,3.6755730367557296,84000010,USA,3930.931930118592,
Diamond Princess,US,2020-05-16 02:32:24,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-16 02:32:24,38.8974,-77.0268,6871,368,975.0,5528.0,11,973.5755913221273,34339.0,,5.355843399796245,84000011,USA,4865.610861651947,
Florida,US,2020-05-16 02:32:24,27.7663,-81.6868,44138,1917,,42221.0,12,205.50582214504257,608837.0,7993.0,4.343196338755721,84000012,USA,2834.7353354778484,18.109112329511984
Georgia,US,2020-05-16 02:32:24,33.0406,-83.6431,36772,1588,,35184.0,13,346.33639443394134,301874.0,6438.0,4.3185032089633415,84000013,USA,2843.194624533656,17.50788643533123
Grand Princess,US,2020-05-16 02:32:24,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-05-16 02:32:24,13.4443,144.7937,154,5,124.0,25.0,66,93.77150198807762,4515.0,,3.2467532467532467,316,GUM,2749.2099446504576,
Hawaii,US,2020-05-16 02:32:24,21.0943,-157.4983,638,17,564.0,57.0,15,45.06057044704606,38776.0,81.0,2.664576802507837,84000015,USA,2738.6656420919408,12.695924764890282
Idaho,US,2020-05-16 02:32:24,44.2405,-114.4788,2351,72,1573.0,706.0,16,131.55649067045687,34745.0,212.0,3.0625265844321565,84000016,USA,1944.2493697767006,9.017439387494683
Illinois,US,2020-05-16 02:32:24,40.3495,-88.9861,90369,4059,,86310.0,17,713.14927822923,538602.0,,4.4915845035355035,84000017,USA,4250.391478856906,
Indiana,US,2020-05-16 02:32:24,39.8494,-86.2583,26656,1691,,24965.0,18,395.94671534006835,165448.0,4389.0,6.343787515006003,84000018,USA,2457.5552280756165,16.465336134453782
Iowa,US,2020-05-16 02:32:24,42.0115,-93.2105,14049,336,6561.0,7152.0,19,445.28330591714285,93566.0,,2.391629297458894,84000019,USA,2965.576041102099,
Kansas,US,2020-05-16 02:32:24,38.5266,-96.7265,7886,193,443.0,7250.0,20,270.6882951854829,61592.0,724.0,2.44737509510525,84000020,USA,2114.1559062977767,9.180826781638348
Kentucky,US,2020-05-16 02:32:24,37.6681,-84.6701,7444,332,2712.0,4400.0,21,166.61917736593526,121278.0,1887.0,4.45996775926921,84000021,USA,2714.567516467745,25.34927458355723
Louisiana,US,2020-05-16 02:32:24,31.1695,-91.8678,33837,2448,22608.0,8781.0,22,727.8661949744385,253189.0,,7.2346839258799545,84000022,USA,5446.337265105746,
Maine,US,2020-05-16 02:32:24,44.6939,-69.3819,1603,69,993.0,541.0,23,119.25202274641201,23695.0,211.0,4.304429195258891,84000023,USA,1762.742781644562,13.162819713038054
Maryland,US,2020-05-16 02:32:24,39.0639,-76.8021,36986,1911,2685.0,32390.0,24,611.7756811475301,182826.0,6679.0,5.166819877791597,84000024,USA,3024.0766960871233,18.058184177797003
Massachusetts,US,2020-05-16 02:32:24,42.2302,-71.5301,83421,5592,,77829.0,25,1210.3150335951975,435679.0,8314.0,6.703348077822131,84000025,USA,6321.056370958417,9.96631543616116
Michigan,US,2020-05-16 02:32:24,43.3266,-84.5361,50079,4825,22686.0,22568.0,26,501.44905449231925,357496.0,,9.634777052257434,84000026,USA,3579.6647533853748,
