Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-21 04:38:59,32.3182,-86.9023,68891,1291,29736.0,37864.0,1,1405.0255089294,593788.0,8368.0,1.8739748298036027,84000001,USA,12110.25078596871,12.146724535860994
Alaska,US,2020-07-21 04:38:59,61.3707,-152.4044,1950,18,712.0,1220.0,2,266.5591317007156,175586.0,,0.9230769230769232,84000002,USA,24002.07779425736,
American Samoa,US,2020-07-21 04:38:59,-14.271,-170.132,0,0,,0.0,60,0.0,1037.0,,,16,ASM,1863.7335777574087,
Arizona,US,2020-07-21 04:38:59,33.7298,-111.4312,145183,2784,18518.0,123881.0,4,1994.6235030157102,793523.0,6698.0,1.9175798819421008,84000004,USA,10901.962529934875,4.613487805046045
Arkansas,US,2020-07-21 04:38:59,34.9697,-92.3731,33927,363,26397.0,7167.0,5,1124.2280810814752,432816.0,2202.0,1.0699442921566893,84000005,USA,14342.084509133132,6.490405871429834
California,US,2020-07-21 04:38:59,36.1162,-119.6816,397870,7770,,390100.0,6,1006.9542278094552,6414321.0,,1.9528991881770428,84000006,USA,16233.763916548052,
Colorado,US,2020-07-21 04:38:59,39.0598,-105.3111,40548,1758,4969.0,33821.0,8,704.1128469858662,442169.0,6032.0,4.33560224918615,84000008,USA,7678.23008382395,14.876196113248493
Connecticut,US,2020-07-21 04:38:59,41.5978,-72.7554,48055,4406,8466.0,35183.0,9,1347.8578302391925,657293.0,10654.0,9.168660909374672,84000009,USA,18435.90712332556,22.170429715950476
Delaware,US,2020-07-21 04:38:59,39.3185,-75.5071,13624,523,7362.0,5739.0,10,1399.1069704774466,152995.0,,3.838813857897828,84000010,USA,15711.712488857669,
Diamond Princess,US,2020-07-21 04:38:59,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-21 04:38:59,38.8974,-77.0268,11339,579,1909.0,8851.0,11,1606.6618585361084,151740.0,,5.106270394214659,84000011,USA,21500.56181446945,
Florida,US,2020-07-21 04:38:59,27.7663,-81.6868,360394,5072,,355322.0,12,1677.9887005786504,3052106.0,21605.0,1.407348624005949,84000012,USA,14210.556726716599,5.994827882817138
Georgia,US,2020-07-21 04:38:59,33.0406,-83.6431,145582,3177,,142405.0,13,1371.1613448950845,1273781.0,15047.0,2.1822752812847743,84000013,USA,11997.082531231921,10.33575579398552
Grand Princess,US,2020-07-21 04:38:59,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-07-21 04:38:59,13.4443,144.7937,319,5,235.0,79.0,66,194.2409684038751,18571.0,,1.567398119122257,316,GUM,11307.990671562271,
Hawaii,US,2020-07-21 04:38:59,21.0943,-157.4983,1393,24,1043.0,326.0,15,98.3845997378294,105956.0,150.0,1.7229002153625268,84000015,USA,7483.444831171179,10.768126346015793
Idaho,US,2020-07-21 04:38:59,44.2405,-114.4788,15268,122,4149.0,10997.0,16,854.361760764158,147888.0,600.0,0.7990568509300497,84000016,USA,8275.468435675255,3.929787791459261
Illinois,US,2020-07-21 04:38:59,40.3495,-88.9861,163922,7494,,156428.0,17,1293.594661730149,2280284.0,,4.571686533839265,84000017,USA,17994.919593640094,
Indiana,US,2020-07-21 04:38:59,39.8494,-86.2583,57206,2825,41322.0,13059.0,18,849.7346862899143,635660.0,7941.0,4.938293186029439,84000018,USA,9442.057663305368,13.881411040799913
