Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-04-29 02:32:33,32.3182,-86.9023,6750,242,,6508.0,1.0,143.9570969462541,75827.0,911.0,3.585185185185185,84000001,USA,1617.1607096509051,13.496296296296293
Alaska,US,2020-04-29 02:32:33,61.3707,-152.4044,351,9,228.0,342.0,2.0,58.72029898837138,17089.0,,2.5641025641025643,84000002,USA,2858.892277527859,
American Samoa,US,2020-04-29 02:32:33,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
Arizona,US,2020-04-29 02:32:33,33.7298,-111.4312,6955,275,1450.0,6680.0,4.0,95.55255411084124,67438.0,1095.0,3.9539899352983454,84000004,USA,926.5094384078952,15.744069015097054
Arkansas,US,2020-04-29 02:32:33,34.9697,-92.3731,3127,57,1146.0,3070.0,5.0,120.77896445266892,40671.0,,1.8228333866325552,84000005,USA,1570.8990288629666,
California,US,2020-04-29 02:32:33,36.1162,-119.6816,46164,1864,,44300.0,6.0,117.7394154652727,577608.0,,4.037778355428474,84000006,USA,1473.1658497544672,
Colorado,US,2020-04-29 02:32:33,39.0598,-105.3111,14316,736,2275.0,13580.0,8.0,252.62877035116563,66341.0,2485.0,5.1411008661637325,84000008,USA,1170.6932979789522,17.358200614696838
Connecticut,US,2020-04-29 02:32:33,41.5978,-72.7554,26312,2087,,24225.0,9.0,738.005103095487,92745.0,,7.931742170872606,84000009,USA,2601.3333568938488,
Delaware,US,2020-04-29 02:32:33,39.3185,-75.5071,4575,137,1096.0,4438.0,10.0,469.82636449899564,21180.0,,2.9945355191256837,84000010,USA,2175.0650054838748,
Diamond Princess,US,2020-04-29 02:32:33,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,2020-04-29 02:32:33,38.8974,-77.0268,3994,190,660.0,3804.0,11.0,565.9235790628113,18885.0,,4.757135703555333,84000011,USA,2675.8805184279395,
Florida,US,2020-04-29 02:32:33,27.7663,-81.6868,32848,1171,,31677.0,12.0,154.70545631563078,366875.0,5266.0,3.564905017048222,84000012,USA,1727.8849332013226,16.03141743789576
Georgia,US,2020-04-29 02:32:33,33.0406,-83.6431,24922,1036,,23886.0,13.0,245.7938063945248,140020.0,4814.0,4.156969745606292,84000013,USA,1380.9505164658276,19.316266752267076
Grand Princess,US,2020-04-29 02:32:33,,,103,3,0.0,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-04-29 02:32:33,13.4443,144.7937,141,5,129.0,136.0,66.0,85.85572584622692,1683.0,,3.5460992907801416,316,GUM,1024.7885574411341,
Hawaii,US,2020-04-29 02:32:33,21.0943,-157.4983,609,16,493.0,593.0,15.0,43.014975427077246,29183.0,68.0,2.6272577996715927,84000015,USA,2061.2578454653462,11.16584564860427
Idaho,US,2020-04-29 02:32:33,44.2405,-114.4788,1952,60,1039.0,1892.0,16.0,121.20482062369568,20052.0,172.0,3.0737704918032787,84000016,USA,1245.081487267595,8.811475409836065
Illinois,US,2020-04-29 02:32:33,40.3495,-88.9861,48102,2125,,45977.0,17.0,409.87919462172243,242189.0,,4.4176957299072805,84000017,USA,2063.70280375536,
Indiana,US,2020-04-29 02:32:33,39.8494,-86.2583,16588,901,,15687.0,18.0,253.48433999175427,87181.0,,5.431637328189052,84000018,USA,1332.22921659158,
Iowa,US,2020-04-29 02:32:33,42.0115,-93.2105,6376,136,2164.0,6240.0,19.0,243.29256961750485,39823.0,,2.132998745294856,84000019,USA,1519.5483061289044,
