Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-23 05:15:18,32.3182,-86.9023,71813,1364,29736.0,40713.0,1,1464.619425944565,609488.0,8538.0,1.8993775500257613,84000001,USA,12430.45081921241,11.889212259618732
Alaska,US,2020-07-23 05:15:18,61.3707,-152.4044,2131,19,753.0,1359.0,2,291.30128700216665,185333.0,,0.8916001877053027,84000002,USA,25334.46336178909,
American Samoa,US,2020-07-23 05:15:18,-14.271,-170.132,0,0,,0.0,60,0.0,1037.0,,,16,ASM,1863.7335777574087,
Arizona,US,2020-07-23 05:15:18,33.7298,-111.4312,150609,2974,19293.0,128342.0,4,2069.169607775656,813981.0,7047.0,1.9746495893339708,84000004,USA,11183.028547476155,4.679003246817921
Arkansas,US,2020-07-23 05:15:18,34.9697,-92.3731,35246,380,27990.0,6876.0,5,1167.9353596191138,440226.0,2317.0,1.0781365261306248,84000005,USA,14587.627294549282,6.573795608012258
California,US,2020-07-23 05:15:18,36.1162,-119.6816,421286,8047,,413239.0,6,1066.216902045729,6664419.0,,1.9101038249550184,84000006,USA,16866.727544031117,
Colorado,US,2020-07-23 05:15:18,39.0598,-105.3111,41680,1771,5064.0,34845.0,8,723.7699384031496,457402.0,6110.0,4.249040307101727,84000008,USA,7942.749936791684,14.659309021113243
Connecticut,US,2020-07-23 05:15:18,41.5978,-72.7554,48223,4406,8466.0,35351.0,9,1352.5699333602035,674406.0,10654.0,9.136718993011634,84000009,USA,18915.896532312825,22.093192045289587
Delaware,US,2020-07-23 05:15:18,39.3185,-75.5071,13792,527,7859.0,5406.0,10,1416.3596107475732,159433.0,,3.821055684454756,84000010,USA,16372.858310637896,
Diamond Princess,US,2020-07-23 05:15:18,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-23 05:15:18,38.8974,-77.0268,11529,580,1974.0,8975.0,11,1633.5836111705435,159572.0,,5.030791916037818,84000011,USA,22610.304796747845,
Florida,US,2020-07-23 05:15:18,27.7663,-81.6868,379619,5345,,374274.0,12,1767.4999931324235,3154711.0,22588.0,1.407990643250206,84000012,USA,14688.283965857298,5.95017636103567
Georgia,US,2020-07-23 05:15:18,33.0406,-83.6431,152302,3335,,148967.0,13,1434.4535392439386,1316844.0,15922.0,2.18972830297698,84000013,USA,12402.670591536194,10.454229097451117
Grand Princess,US,2020-07-23 05:15:18,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-07-23 05:15:18,13.4443,144.7937,330,5,242.0,83.0,66,200.9389328315949,19082.0,,1.5151515151515151,316,GUM,11619.14156452271,
Hawaii,US,2020-07-23 05:15:18,21.0943,-157.4983,1435,25,1084.0,326.0,15,101.35096957917101,108182.0,151.0,1.7421602787456445,84000015,USA,7640.662432762284,10.522648083623693
Idaho,US,2020-07-23 05:15:18,44.2405,-114.4788,16322,135,4504.0,11683.0,16,913.3411487550817,153971.0,656.0,0.8271045215047176,84000016,USA,8615.85896427942,4.0191153044969985
Illinois,US,2020-07-23 05:15:18,40.3495,-88.9861,166475,7540,,158935.0,17,1313.74172662319,2349662.0,,4.529208589878361,84000017,USA,18542.417857701745,
Indiana,US,2020-07-23 05:15:18,39.8494,-86.2583,58673,2863,41322.0,14488.0,18,871.5254212615483,654413.0,8020.0,4.879586862781858,84000018,USA,9720.61366393458,13.668978917048726
Iowa,US,2020-07-23 05:15:18,42.0115,-93.2105,40208,814,28607.0,10787.0,19,1274.3932781206122,426436.0,,2.0244727417429367,84000019,USA,13515.896636207757,
Kansas,US,2020-07-23 05:15:18,38.5266,-96.7265,23481,321,1050.0,22110.0,20,805.9893303639772,268686.0,1545.0,1.3670627315702055,84000020,USA,9222.692782171782,6.579787913632297
Kentucky,US,2020-07-23 05:15:18,37.6681,-84.6701,24540,677,7000.0,16863.0,21,549.2792332831879,519075.0,2914.0,2.7587612061939693,84000021,USA,11618.464466848847,11.874490627546864
Louisiana,US,2020-07-23 05:15:18,31.1695,-91.8678,99354,3558,61456.0,34340.0,22,2137.199454310085,1152901.0,,3.581134126456912,84000022,USA,24800.00189296407,
Maine,US,2020-07-23 05:15:18,44.6939,-69.3819,3722,118,3216.0,388.0,23,276.89084757463854,145018.0,377.0,3.170338527673294,84000023,USA,10788.328031590256,10.128962923159593
Maryland,US,2020-07-23 05:15:18,39.0639,-76.8021,80172,3405,5434.0,71333.0,24,1326.1039287557394,782833.0,11997.0,4.247118694806167,84000024,USA,12948.634396792419,14.964077233947014
Massachusetts,US,2020-07-23 05:15:18,42.2302,-71.5301,114320,8468,96452.0,9400.0,25,1658.613714060045,1070062.0,11761.0,7.407277816655004,84000025,USA,15525.013191869484,10.28778866340098
Michigan,US,2020-07-23 05:15:18,43.3266,-84.5361,83730,6388,55162.0,22180.0,26,838.4019116324587,1559613.0,,7.629284605278872,84000026,USA,15616.65496962658,
Minnesota,US,2020-07-23 05:15:18,45.6945,-93.9002,47961,1592,42234.0,4135.0,27,850.4278293335452,888551.0,4771.0,3.3193636496319927,84000027,USA,15755.478371638435,9.947665811805424
Mississippi,US,2020-07-23 05:15:18,32.7416,-89.6787,47071,1423,30315.0,15333.0,28,1581.6076412840891,403030.0,3844.0,3.0230927747445353,84000028,USA,13541.996721266309,8.166386947377367
Missouri,US,2020-07-23 05:15:18,38.4561,-92.2884,36497,1159,,35338.0,29,594.6627805654094,589460.0,,3.1756034742581583,84000029,USA,9604.348922708341,
Montana,US,2020-07-23 05:15:18,46.9219,-110.4544,2812,42,1543.0,1227.0,30,263.10421808832143,143518.0,179.0,1.4935988620199143,84000030,USA,13428.2329913228,6.365576102418207
Nebraska,US,2020-07-23 05:15:18,41.1254,-98.2681,23486,311,17389.0,5786.0,31,1214.118221181881,242621.0,1508.0,1.3241931363365411,84000031,USA,12542.390229982504,6.420846461721878
Nevada,US,2020-07-23 05:15:18,38.3135,-117.0554,38657,704,917.0,37036.0,32,1255.0338359485688,404308.0,,1.8211449414077656,84000032,USA,13126.218282450627,
New Hampshire,US,2020-07-23 05:15:18,43.4525,-71.5639,6295,402,5316.0,577.0,33,462.9660273396332,145538.0,677.0,6.386020651310563,84000033,USA,10703.598043996111,10.75456711675933
New Jersey,US,2020-07-23 05:15:18,40.2989,-74.521,177645,15707,31850.0,130088.0,34,2000.0135101816104,1840929.0,21184.0,8.841791212812069,84000034,USA,20726.070935208547,11.924906414478311
New Mexico,US,2020-07-23 05:15:18,34.8405,-106.2485,17828,591,6870.0,10367.0,35,850.2362376712647,481531.0,2433.0,3.315010096477452,84000035,USA,22964.724352820376,13.647072021539152
New York,US,2020-07-23 05:15:18,42.1657,-74.9481,408886,32558,72386.0,303942.0,36,2101.856827138229,5298640.0,89995.0,7.962610605401016,84000036,USA,27237.37828770784,22.00980224316802
North Carolina,US,2020-07-23 05:15:18,35.6301,-79.8064,105276,1732,78707.0,24837.0,37,1003.7677043776537,1491820.0,,1.6451992856871462,84000037,USA,14223.951676969788,
North Dakota,US,2020-07-23 05:15:18,47.5289,-99.784,5367,96,4407.0,864.0,38,704.2734055759242,139266.0,317.0,1.7887087758524316,84000038,USA,18274.891019365878,5.906465436929383
Northern Mariana Islands,US,2020-07-23 05:15:18,15.0979,145.6739,38,2,29.0,7.0,69,68.91048890178442,12745.0,4.0,5.2631578947368425,580,MNP,23112.2152908748,10.526315789473683
Ohio,US,2020-07-23 05:15:18,40.3888,-82.7649,78742,3235,54426.0,21081.0,39,673.636122541513,1221595.0,9864.0,4.10835386451957,84000039,USA,10450.71904594879,12.526986868507278
Oklahoma,US,2020-07-23 05:15:18,35.5653,-96.9289,27298,474,21596.0,5228.0,40,710.6193095678489,505598.0,2540.0,1.6856929478288702,84000040,USA,12777.399682737125,9.033038159251749
