Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-11 04:34:39,32.3182,-86.9023,50508,1104,25783.0,23621.0,1,1030.1059413422092,492216.0,3089.0,2.1857923497267757,84000001,USA,10038.69933522802,6.115862833610518
Alaska,US,2020-07-11 04:34:39,61.3707,-152.4044,1323,17,588.0,718.0,2,180.85011858463932,141931.0,,1.2849584278155706,84000002,USA,19401.54057508424,
American Samoa,US,2020-07-11 04:34:39,-14.271,-170.132,0,0,,0.0,60,0.0,816.0,,,16,ASM,1466.5444546287808,
Arizona,US,2020-07-11 04:34:39,33.7298,-111.4312,116892,2082,13853.0,100957.0,4,1605.94236594169,669211.0,5659.0,1.7811313006878144,84000004,USA,9194.079121361636,4.841220956096225
Arkansas,US,2020-07-11 04:34:39,34.9697,-92.3731,26803,313,20642.0,5848.0,5,888.1623856287551,365412.0,1743.0,1.1677797261500578,84000005,USA,12108.539852157395,6.503003395142335
California,US,2020-07-11 04:34:39,36.1162,-119.6816,310885,6955,,303930.0,6,786.8071609132191,5175737.0,,2.2371616514145103,84000006,USA,13099.07822700839,
Colorado,US,2020-07-11 04:34:39,39.0598,-105.3111,36173,1724,4691.0,29758.0,8,628.1413143439811,377140.0,5831.0,4.7659856799270175,84000008,USA,6549.0065875567125,16.119757830426007
Connecticut,US,2020-07-11 04:34:39,41.5978,-72.7554,47287,4348,8351.0,34588.0,9,1326.316787400285,558209.0,10552.0,9.194916150316157,84000009,USA,15656.776018312132,22.314801108126968
Delaware,US,2020-07-11 04:34:39,39.3185,-75.5071,12652,517,6949.0,5186.0,10,1299.2881232002824,132708.0,,4.086310464748657,84000010,USA,13628.353481952507,
Diamond Princess,US,2020-07-11 04:34:39,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-11 04:34:39,38.8974,-77.0268,10743,568,1703.0,8472.0,11,1522.212571324933,120884.0,,5.287163734524807,84000011,USA,17128.469186637176,
Florida,US,2020-07-11 04:34:39,27.7663,-81.6868,244151,4102,,240049.0,12,1136.7631515368682,2421627.0,17916.0,1.6801078021388405,84000012,USA,11275.056585337645,7.33808176087749
Georgia,US,2020-07-11 04:34:39,33.0406,-83.6431,111217,2965,,108252.0,13,1047.4952349548473,1046348.0,12937.0,2.6659593407482673,84000013,USA,9855.009073293964,11.632214499581899
Grand Princess,US,2020-07-11 04:34:39,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-07-11 04:34:39,13.4443,144.7937,310,5,202.0,103.0,66,188.76081569028614,16866.0,,1.6129032258064515,316,GUM,10269.806185265696,
Hawaii,US,2020-07-11 04:34:39,21.0943,-157.4983,1158,19,840.0,299.0,15,81.78705419698956,90595.0,123.0,1.640759930915371,84000015,USA,6398.530375627175,10.621761658031089
Idaho,US,2020-07-11 04:34:39,44.2405,-114.4788,9929,101,3022.0,6806.0,16,555.6037413300579,118078.0,432.0,1.0172222781750428,84000016,USA,6607.37018519192,4.350891328431866
Illinois,US,2020-07-11 04:34:39,40.3495,-88.9861,152899,7345,,145554.0,17,1206.6063748848724,1912875.0,,4.803824747055247,84000017,USA,15095.502059254153,
Indiana,US,2020-07-11 04:34:39,39.8494,-86.2583,50300,2748,38120.0,9432.0,18,747.1533531514647,550562.0,7458.0,5.463220675944334,84000018,USA,8178.016787629755,14.827037773359839
Iowa,US,2020-07-11 04:34:39,42.0115,-93.2105,34172,743,25891.0,7538.0,19,1083.0821503167917,362248.0,,2.1742947442350458,84000019,USA,11481.456829800924,
Kansas,US,2020-07-11 04:34:39,38.5266,-96.7265,18303,293,905.0,17105.0,20,628.2535971062507,217779.0,1304.0,1.600830464951101,84000020,USA,7475.301323509927,7.1245151068130905
Kentucky,US,2020-07-11 04:34:39,37.6681,-84.6701,18672,620,5258.0,12794.0,21,417.93569045899284,432690.0,2763.0,3.3204798628963155,84000021,USA,9684.907557021297,14.797557840616967
Louisiana,US,2020-07-11 04:34:39,31.1695,-91.8678,74636,3380,46334.0,24922.0,22,1605.4916608479532,905248.0,,4.528645693767083,84000022,USA,19472.74927647902,
Maine,US,2020-07-11 04:34:39,44.6939,-69.3819,3499,111,2931.0,457.0,23,260.30120248889307,118406.0,366.0,3.172334952843669,84000023,USA,8808.580789339776,10.460131466133179
Maryland,US,2020-07-11 04:34:39,39.0639,-76.8021,71910,3303,5157.0,63450.0,24,1189.4443635786215,621063.0,11300.0,4.593241551939925,84000024,USA,10272.839448994984,15.714087053261023
Massachusetts,US,2020-07-11 04:34:39,42.2302,-71.5301,111110,8296,94347.0,8467.0,25,1612.0413730686805,938616.0,11582.0,7.466474664746647,84000025,USA,13617.926608084175,10.42390423904239
Michigan,US,2020-07-11 04:34:39,43.3266,-84.5361,75685,6285,52841.0,16559.0,26,757.8460370464903,1246805.0,,8.304155380854857,84000026,USA,12484.458323574672,
Minnesota,US,2020-07-11 04:34:39,45.6945,-93.9002,40767,1533,35442.0,3792.0,27,722.8663146815253,725825.0,4329.0,3.7603944366767235,84000027,USA,12870.077338379526,10.618882920008833
Mississippi,US,2020-07-11 04:34:39,32.7416,-89.6787,34622,1215,22167.0,11240.0,28,1163.315411963581,330312.0,3455.0,3.509329328172838,84000028,USA,11098.637870617364,9.979203974351568
Missouri,US,2020-07-11 04:34:39,38.4561,-92.2884,27069,1084,,25985.0,29,441.0479438618262,454825.0,,4.004580885884222,84000029,USA,7410.677567215453,
Montana,US,2020-07-11 04:34:39,46.9219,-110.4544,1593,28,855.0,710.0,30,149.04872667663446,112178.0,123.0,1.7576898932831135,84000030,USA,10495.912153880414,7.7212806026365355
Nebraska,US,2020-07-11 04:34:39,41.1254,-98.2681,20777,286,15206.0,5285.0,31,1074.075376032357,201014.0,1419.0,1.3765221158011265,84000031,USA,10391.499621589655,6.829667420705588
Nevada,US,2020-07-11 04:34:39,38.3135,-117.0554,25908,579,764.0,24565.0,32,841.1262286715347,335491.0,,2.234830940250116,84000032,USA,10892.013261665968,
New Hampshire,US,2020-07-11 04:34:39,43.4525,-71.5639,5991,390,4831.0,770.0,33,440.60833515357314,131051.0,581.0,6.509764646970456,84000033,USA,9638.151048274229,9.697880153563679
New Jersey,US,2020-07-11 04:34:39,40.2989,-74.521,174628,15479,31014.0,128135.0,34,1966.046661915586,1623158.0,20567.0,8.863985157019492,84000034,USA,18274.29946893728,11.777607256568249
New Mexico,US,2020-07-11 04:34:39,34.8405,-106.2485,14549,539,6118.0,7892.0,35,693.857248254388,395881.0,2137.0,3.704721974018833,84000035,USA,18879.98496777753,14.688294728160011
New York,US,2020-07-11 04:34:39,42.1657,-74.9481,400299,32331,71371.0,296597.0,36,2057.715808432194,4541574.0,89995.0,8.076712657288677,84000036,USA,23345.720611254666,22.48194474630214
North Carolina,US,2020-07-11 04:34:39,35.6301,-79.8064,82032,1497,55318.0,25217.0,37,782.1447654309405,1150612.0,,1.8248976009362199,84000037,USA,10970.659655281175,
North Dakota,US,2020-07-11 04:34:39,47.5289,-99.784,4155,85,3496.0,574.0,38,545.231227905341,119596.0,260.0,2.045728038507822,84000038,USA,15693.736205190651,6.257521058965103
Northern Mariana Islands,US,2020-07-11 04:34:39,15.0979,145.6739,31,2,19.0,10.0,69,56.216451472508346,10765.0,4.0,6.451612903225807,580,MNP,19521.61613230814,12.903225806451614
Ohio,US,2020-07-11 04:34:39,40.3888,-82.7649,62856,3032,43435.0,16389.0,39,537.7317329820089,959553.0,8701.0,4.823724067710322,84000039,USA,8208.955351566845,13.842751686394296
Oklahoma,US,2020-07-11 04:34:39,35.5653,-96.9289,19092,416,14648.0,4028.0,40,482.49026844017817,411074.0,1949.0,2.178923109155668,84000040,USA,10388.60279744279,10.208464278231721
Oregon,US,2020-07-11 04:34:39,44.572,-122.0709,11454,232,3009.0,8213.0,41,271.5674305913337,286770.0,1180.0,2.025493277457657,84000041,USA,6799.1437114262935,10.302077876724287
Pennsylvania,US,2020-07-11 04:34:39,40.5908,-77.2098,98482,6880,72284.0,19318.0,42,769.2710874849213,898640.0,,6.986048211855974,84000042,USA,7019.534230188762,
Puerto Rico,US,2020-07-11 04:34:39,18.2208,-66.5901,9137,159,,8978.0,72,311.4807077638024,264903.0,,1.7401773010835069,630,PRI,9030.55422225616,
Rhode Island,US,2020-07-11 04:34:39,41.6809,-71.5118,17312,976,1685.0,14651.0,44,1634.19268785617,166655.0,2051.0,5.6377079482439925,84000044,USA,15731.653326864023,11.847273567467651
South Carolina,US,2020-07-11 04:34:39,33.8569,-80.945,52419,929,20956.0,30534.0,45,1018.0988883826137,475235.0,3398.0,1.7722581506705584,84000045,USA,9230.168931504058,6.482382342280471
South Dakota,US,2020-07-11 04:34:39,44.2998,-99.4388,7401,107,6408.0,886.0,46,836.5935349100613,88542.0,726.0,1.4457505742467234,84000046,USA,10008.60218457055,9.809485204702069
Tennessee,US,2020-07-11 04:34:39,35.7478,-86.6923,59546,723,34740.0,24083.0,47,871.9356103681059,994575.0,3146.0,1.2141873509555638,84000047,USA,14563.620724849008,5.283310381889631
Texas,US,2020-07-11 04:34:39,31.0545,-97.5635,244756,3062,122996.0,118698.0,48,844.1060990697266,2389789.0,,1.2510418539279935,84000048,USA,8241.82234711199,
Utah,US,2020-07-11 04:34:39,40.15,-111.8624,28223,207,16261.0,11755.0,49,880.3296861655705,395974.0,1748.0,0.7334443538957588,84000049,USA,12351.191126022237,6.193530099564185
Vermont,US,2020-07-11 04:34:39,44.0459,-72.7107,1277,56,1066.0,155.0,50,204.65104352801086,74098.0,,4.385277995301488,84000050,USA,11874.888820155484,
Virgin Islands,US,2020-07-11 04:34:39,18.3358,-64.8963,153,6,87.0,60.0,78,142.6334041839132,3626.0,,3.92156862745098,850,VIR,3380.318454711564,
Virginia,US,2020-07-11 04:34:39,37.7693,-78.17,68931,1958,9189.0,57784.0,51,807.5783089464155,768725.0,10195.0,2.840521681101391,84000051,USA,9006.189313151315,14.790152471311893
Washington,US,2020-07-11 04:34:39,47.4009,-121.4905,39218,1424,,37794.0,53,515.0170855979197,660330.0,4665.0,3.6309857718394616,84000053,USA,8671.559797360253,11.895048192156663
West Virginia,US,2020-07-11 04:34:39,38.4912,-80.9545,3983,95,2756.0,1132.0,54,222.24739376847992,201203.0,,2.38513683153402,84000054,USA,11226.925023449528,
Wisconsin,US,2020-07-11 04:34:39,44.2685,-89.6165,34753,814,27329.0,6610.0,55,596.8809607803197,673510.0,3766.0,2.3422438350645987,84000055,USA,11567.499090586514,10.836474548959803
Wyoming,US,2020-07-11 04:34:39,42.756,-107.3025,1790,21,1327.0,442.0,56,309.2824474435819,39867.0,121.0,1.1731843575418994,84000056,USA,6888.359403482278,6.759776536312848
