Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-15 02:33:07,32.3182,-86.9023,11101,473,,10628.0,1,226.40385790052792,141985.0,1350.0,4.260877398432574,84000001,USA,2895.7708101978606,12.161066570579223
Alaska,US,2020-05-15 02:33:07,61.3707,-152.4044,383,10,339.0,34.0,2,52.35494740583286,31762.0,,2.610966057441253,84000002,USA,4341.769815937502,
American Samoa,US,2020-05-15 02:33:07,-14.271,-170.132,0,0,,0.0,60,0.0,105.0,,,16,ASM,188.70976438237992,
Arizona,US,2020-05-15 02:33:07,33.7298,-111.4312,12674,624,3074.0,8976.0,4,174.12409357308437,134338.0,1636.0,4.92346536215875,84000004,USA,1845.6274642907536,12.90831623796749
Arkansas,US,2020-05-15 02:33:07,34.9697,-92.3731,4366,98,3277.0,991.0,5,144.67473699418517,75818.0,509.0,2.244617498854787,84000005,USA,2512.3566672984725,11.658268437929456
California,US,2020-05-15 02:33:07,36.1162,-119.6816,74871,3052,,71819.0,6,189.4881996388813,1104651.0,,4.076344646124668,84000006,USA,2795.719694131105,
Colorado,US,2020-05-15 02:33:07,39.0598,-105.3111,20838,1086,3217.0,16535.0,8,361.85023935808135,114519.0,3735.0,5.2116325942988775,84000008,USA,1988.613473512243,17.923985027353872
Connecticut,US,2020-05-15 02:33:07,41.5978,-72.7554,35464,3219,6264.0,25981.0,9,994.7025302591346,149562.0,10946.0,9.076810286487706,84000009,USA,4194.949803480056,30.865102639296182
Delaware,US,2020-05-15 02:33:07,39.3185,-75.5071,7223,260,3080.0,3883.0,10,741.7608373281412,36857.0,,3.5996123494392918,84000010,USA,3785.0033478337673,
Diamond Princess,US,2020-05-15 02:33:07,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-15 02:33:07,38.8974,-77.0268,6736,358,966.0,5412.0,11,954.4469776081863,32999.0,,5.314726840855107,84000011,USA,4675.741658861721,
Florida,US,2020-05-15 02:33:07,27.7663,-81.6868,43210,1875,,41335.0,12,201.18506898561986,608837.0,7993.0,4.339273316361953,84000012,USA,2834.7353354778484,18.49803286276325
Georgia,US,2020-05-15 02:33:07,33.0406,-83.6431,35977,1545,,34432.0,13,338.8487017989205,285881.0,6345.0,4.294410317702977,84000013,USA,2692.5648530721633,17.636267615420962
Grand Princess,US,2020-05-15 02:33:07,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-05-15 02:33:07,13.4443,144.7937,152,5,124.0,23.0,66,92.55369027394674,4379.0,,3.2894736842105265,316,GUM,2666.398748089558,
