Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-30 02:32:55,32.3182,-86.9023,17031,610,9355.0,7066.0,1,347.3456538963959,208883.0,1800.0,3.5817039516176385,84000001,USA,4260.14927032123,10.568962480183195
Alaska,US,2020-05-30 02:32:55,61.3707,-152.4044,429,10,367.0,52.0,2,58.64300897415743,49439.0,,2.331002331002331,84000002,USA,6758.162519052144,
American Samoa,US,2020-05-30 02:32:55,-14.271,-170.132,0,0,,0.0,60,0.0,174.0,,,16,ASM,312.7190381193724,
Arizona,US,2020-05-30 02:32:55,33.7298,-111.4312,18472,886,4551.0,13035.0,4,253.78098914959872,209813.0,2911.0,4.796448679081854,84000004,USA,2882.554713969509,15.758986574274578
Arkansas,US,2020-05-30 02:32:55,34.9697,-92.3731,6777,132,4583.0,2062.0,5,224.567268119467,119768.0,667.0,1.9477644975652944,84000005,USA,3968.7136739165294,9.842113029364024
California,US,2020-05-30 02:32:55,36.1162,-119.6816,106622,4077,,102545.0,6,269.84561207806513,1835478.0,,3.8237887115229503,84000006,USA,4645.342278008504,
Colorado,US,2020-05-30 02:32:55,39.0598,-105.3111,25598,1436,3838.0,20324.0,8,444.50726687245265,168959.0,4254.0,5.609813266661458,84000008,USA,2933.959813403497,16.618485819204626
Connecticut,US,2020-05-30 02:32:55,41.5978,-72.7554,41762,3868,7127.0,30767.0,9,1171.3503008313216,241393.0,12538.0,9.262008524495954,84000009,USA,6770.647075536976,30.02250850055074
Delaware,US,2020-05-30 02:32:55,39.3185,-75.5071,9236,356,5103.0,3777.0,10,948.4844377076993,57533.0,,3.8544824599393683,84000010,USA,5908.310432507261,
Diamond Princess,US,2020-05-30 02:32:55,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-30 02:32:55,38.8974,-77.0268,8538,460,1089.0,6989.0,11,1209.7785473305667,43858.0,,5.387678613258374,84000011,USA,6214.390668637149,
Florida,US,2020-05-30 02:32:55,27.7663,-81.6868,54497,2413,,52084.0,12,253.7371604839001,983239.0,10243.0,4.427766666055012,84000012,USA,4577.9450600405435,18.79553002917592
Georgia,US,2020-05-30 02:32:55,33.0406,-83.6431,45881,1987,,43894.0,13,432.1293406130659,450271.0,7852.0,4.33076872779582,84000013,USA,4240.868994293624,17.11383797214533
Grand Princess,US,2020-05-30 02:32:55,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-05-30 02:32:55,13.4443,144.7937,172,5,144.0,23.0,66,104.7318074152555,6095.0,,2.9069767441860463,316,GUM,3711.281198813852,
Hawaii,US,2020-05-30 02:32:55,21.0943,-157.4983,649,17,604.0,28.0,15,45.837476834064105,52824.0,83.0,2.6194144838212634,84000015,USA,3730.845726167337,12.788906009244993
Idaho,US,2020-05-30 02:32:55,44.2405,-114.4788,2770,82,2195.0,493.0,16,155.00275591542558,44761.0,238.0,2.96028880866426,84000016,USA,2504.721428711323,8.592057761732853
Illinois,US,2020-05-30 02:32:55,40.3495,-88.9861,117455,5270,,112185.0,17,926.8991410153284,851762.0,,4.486824741390318,84000017,USA,6721.701640198358,
Indiana,US,2020-05-30 02:32:55,39.8494,-86.2583,33558,2110,,31448.0,18,498.46863270490763,248713.0,5285.0,6.287621431551343,84000018,USA,3694.368825494239,15.748852732582396
Iowa,US,2020-05-30 02:32:55,42.0115,-93.2105,18957,524,10753.0,7680.0,19,600.8424535747226,147320.0,,2.764150445745635,84000019,USA,4669.310031156203,
Kansas,US,2020-05-30 02:32:55,38.5266,-96.7265,9662,215,547.0,8900.0,20,331.6497981336718,94949.0,842.0,2.2252121713930864,84000020,USA,3259.140621299317,8.714551852618506
Kentucky,US,2020-05-30 02:32:55,37.6681,-84.6701,9464,418,3181.0,5865.0,21,211.83287138517082,221274.0,2180.0,4.416737109044801,84000021,USA,4952.7796685209505,23.034657650042266
Louisiana,US,2020-05-30 02:32:55,31.1695,-91.8678,38802,2767,28700.0,7335.0,22,834.6680881105939,355027.0,,7.1310757177465085,84000022,USA,7636.96993241688,
Maine,US,2020-05-30 02:32:55,44.6939,-69.3819,2226,85,1458.0,683.0,23,165.5988787482927,45706.0,270.0,3.818508535489668,84000023,USA,3400.207705332194,12.129380053908354
Maryland,US,2020-05-30 02:32:55,39.0639,-76.8021,50988,2466,3571.0,44951.0,24,843.3790739834062,284518.0,8479.0,4.836432101670981,84000024,USA,4706.137274880576,16.629402996783558
Massachusetts,US,2020-05-30 02:32:55,42.2302,-71.5301,95512,6718,,88794.0,25,1385.7375179960022,571745.0,9725.0,7.033671161738839,84000025,USA,8295.172305329428,10.181966663874695
Michigan,US,2020-05-30 02:32:55,43.3266,-84.5361,56621,5406,33168.0,18047.0,26,566.9551491525311,521607.0,,9.547694318362446,84000026,USA,5222.934502817053,
Minnesota,US,2020-05-30 02:32:55,45.6945,-93.9002,23531,1006,16930.0,5595.0,27,417.2435364576979,233873.0,2936.0,4.2752114232289316,84000027,USA,4146.954978622719,12.47715779184905
Mississippi,US,2020-05-30 02:32:55,32.7416,-89.6787,14793,710,9401.0,4682.0,28,497.0517269128663,166308.0,2208.0,4.799567362941931,84000028,USA,5588.026674739739,14.925978503346178
Missouri,US,2020-05-30 02:32:55,38.4561,-92.2884,13084,730,,12354.0,29,213.18376362215574,177850.0,,5.5793335371446044,84000029,USA,2897.7936686181897,
Montana,US,2020-05-30 02:32:55,46.9219,-110.4544,493,17,448.0,28.0,30,46.12744648561254,38529.0,67.0,3.4482758620689653,84000030,USA,3604.9581858908014,13.590263691683571
Nebraska,US,2020-05-30 02:32:55,41.1254,-98.2681,13648,164,,13484.0,31,705.5388521966411,94803.0,,1.201641266119578,84000031,USA,4900.87923540432,
Nevada,US,2020-05-30 02:32:55,38.3135,-117.0554,8376,406,428.0,7542.0,32,271.93427865341886,134416.0,,4.847182425978987,84000032,USA,4363.934813691255,
