Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-29 04:35:24,32.3182,-86.9023,82366,1491,32510.0,48365.0,1,1679.8468750414272,665399.0,9893.0,1.8102129519461916,84000001,USA,13570.75044078492,12.011023966199643
Alaska,US,2020-07-29 04:35:24,61.3707,-152.4044,2730,22,836.0,1872.0,2,373.1827843810018,213875.0,,0.8058608058608059,84000002,USA,29236.068867943868,
American Samoa,US,2020-07-29 04:35:24,-14.271,-170.132,0,0,,0.0,60,0.0,1037.0,,,16,ASM,1863.7335777574087,
Arizona,US,2020-07-29 04:35:24,33.7298,-111.4312,165934,3408,21626.0,140900.0,4,2279.714955259285,890931.0,9394.0,2.0538286306603832,84000004,USA,12240.220357516304,5.661287017729942
Arkansas,US,2020-07-29 04:35:24,34.9697,-92.3731,40181,428,33188.0,6565.0,5,1331.464866505578,489906.0,2686.0,1.0651800602274708,84000005,USA,16233.857467217884,6.68475149946492
California,US,2020-07-29 04:35:24,36.1162,-119.6816,470762,8679,,462083.0,6,1191.4338507352522,7417866.0,,1.843606748208224,84000006,USA,18773.598235664947,
Colorado,US,2020-07-29 04:35:24,39.0598,-105.3111,45296,1807,5212.0,38277.0,8,786.561495439277,500430.0,6271.0,3.989314729777464,84000008,USA,8689.927789709409,13.844489579653834
Connecticut,US,2020-07-29 04:35:24,41.5978,-72.7554,49077,4423,8516.0,36138.0,9,1376.5231242253426,752688.0,10712.0,9.012368319171914,84000009,USA,21111.56829730678,21.82692503616765
Delaware,US,2020-07-29 04:35:24,39.3185,-75.5071,14476,580,8076.0,5820.0,10,1486.6025032759478,174623.0,,4.006631666206134,84000010,USA,17932.784535061885,
Diamond Princess,US,2020-07-29 04:35:24,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-29 04:35:24,38.8974,-77.0268,11945,583,9664.0,1698.0,11,1692.5280800964651,178022.0,,4.880703223105902,84000011,USA,25224.548670986427,
