Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-27 02:32:37,32.3182,-86.9023,15650,580,7951.0,7119.0,1,319.1802879148962,193759.0,1671.0,3.706070287539936,84000001,USA,3951.696703265327,10.677316293929712
Alaska,US,2020-05-27 02:32:37,61.3707,-152.4044,410,10,362.0,38.0,2,56.04576615245815,44964.0,,2.4390243902439024,84000002,USA,6146.443486046655,
American Samoa,US,2020-05-27 02:32:37,-14.271,-170.132,0,0,,0.0,60,0.0,124.0,,,16,ASM,222.85724555633442,
Arizona,US,2020-05-27 02:32:37,33.7298,-111.4312,16864,810,4297.0,11757.0,4,231.6891836844323,190731.0,1988.0,4.803130929791272,84000004,USA,2620.393126975537,11.78842504743833
Arkansas,US,2020-05-27 02:32:37,34.9697,-92.3731,6180,119,4332.0,1729.0,5,204.78467123776096,111773.0,617.0,1.9255663430420715,84000005,USA,3703.785931757,9.983818770226536
California,US,2020-05-27 02:32:37,36.1162,-119.6816,99387,3819,,95568.0,6,251.53482252820854,1696396.0,,3.842554861299768,84000006,USA,4293.344872041242,
Colorado,US,2020-05-27 02:32:37,39.0598,-105.3111,24552,1352,3702.0,19498.0,8,426.34355872538697,156011.0,4128.0,5.506679700228086,84000008,USA,2709.1188066270097,16.81329423264907
Connecticut,US,2020-05-27 02:32:37,41.5978,-72.7554,41303,3769,7127.0,30407.0,9,1158.4761619471308,225362.0,12538.0,9.125245139578238,84000009,USA,6321.005854507645,30.356148463791968
Delaware,US,2020-05-27 02:32:37,39.3185,-75.5071,9066,335,4802.0,3929.0,10,931.0264088629275,54914.0,,3.695124641517759,84000010,USA,5639.354094010458,
Diamond Princess,US,2020-05-27 02:32:37,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-27 02:32:37,38.8974,-77.0268,8334,440,1080.0,6814.0,11,1180.8730866072785,42055.0,,5.279577633789296,84000011,USA,5958.917405479852,
Florida,US,2020-05-27 02:32:37,27.7663,-81.6868,52255,2259,,49996.0,12,243.29844433796725,923224.0,9740.0,4.323031288871879,84000012,USA,4298.5161798005065,18.63936465410009
Georgia,US,2020-05-27 02:32:37,33.0406,-83.6431,43983,1896,,42087.0,13,414.25306310203524,514945.0,7547.0,4.310756428620149,84000013,USA,4849.99985401354,17.158902303162588
Grand Princess,US,2020-05-27 02:32:37,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-05-27 02:32:37,13.4443,144.7937,167,5,139.0,23.0,66,101.68727812992832,5684.0,,2.9940119760479043,316,GUM,3461.020891559956,
Hawaii,US,2020-05-27 02:32:37,21.0943,-157.4983,643,17,592.0,34.0,15,45.41370971387244,50371.0,84.0,2.6438569206842923,84000015,USA,3557.595601862315,13.063763608087092
Idaho,US,2020-05-27 02:32:37,44.2405,-114.4788,2626,79,1755.0,792.0,16,146.9448509147681,41406.0,225.0,3.0083777608530085,84000016,USA,2316.983433730726,8.568164508758569
Illinois,US,2020-05-27 02:32:37,40.3495,-88.9861,113195,4923,,108272.0,17,893.2812418988558,786794.0,,4.3491320287998585,84000017,USA,6209.0050040953065,
Indiana,US,2020-05-27 02:32:37,39.8494,-86.2583,32078,2004,,30074.0,18,476.4847964690394,230749.0,5285.0,6.247272273832532,84000018,USA,3427.532586209688,16.47546605149947
Iowa,US,2020-05-27 02:32:37,42.0115,-93.2105,17703,477,9791.0,7435.0,19,561.0969011781037,135004.0,,2.6944585663446867,84000019,USA,4278.954191190686,
Kansas,US,2020-05-27 02:32:37,38.5266,-96.7265,9199,210,493.0,8496.0,20,315.7572441556248,81399.0,800.0,2.2828568322643767,84000020,USA,2794.034559954746,8.696597456245245
Kentucky,US,2020-05-27 02:32:37,37.6681,-84.6701,8951,394,3102.0,5455.0,21,200.35038374563226,169856.0,2131.0,4.401742822031059,84000021,USA,3801.8897085798358,23.8073958216959
Louisiana,US,2020-05-27 02:32:37,31.1695,-91.8678,38054,2702,28700.0,6652.0,22,818.5778935353985,341026.0,,7.1004362222105435,84000022,USA,7335.795047059517,
Maine,US,2020-05-27 02:32:37,44.6939,-69.3819,2109,79,1318.0,712.0,23,156.89489455532308,37559.0,258.0,3.745851114272167,84000023,USA,2794.12771199781,12.233285917496445
Maryland,US,2020-05-27 02:32:37,39.0639,-76.8021,47687,2333,3334.0,42020.0,24,788.7781027113575,254487.0,8179.0,4.892318661270367,84000024,USA,4209.402416270792,17.151424916643947
Massachusetts,US,2020-05-27 02:32:37,42.2302,-71.5301,93693,6473,,87220.0,25,1359.3465247675626,545481.0,9388.0,6.908733843510188,84000025,USA,7914.1206032119235,10.019958801618053
Michigan,US,2020-05-27 02:32:37,43.3266,-84.5361,55104,5266,33168.0,16670.0,26,551.7651849826227,484279.0,,9.556475029036003,84000026,USA,4849.163255266397,
Minnesota,US,2020-05-27 02:32:37,45.6945,-93.9002,21960,908,15523.0,5529.0,27,389.38710894611563,209898.0,2709.0,4.134790528233151,84000027,USA,3721.8385880497167,12.336065573770492
Mississippi,US,2020-05-27 02:32:37,32.7416,-89.6787,13731,652,9401.0,3678.0,28,461.36802962486087,147819.0,2070.0,4.748379579054694,84000028,USA,4966.787617152233,15.075376884422115
Missouri,US,2020-05-27 02:32:37,38.4561,-92.2884,12579,693,,11886.0,29,204.95556118947547,160298.0,,5.509181969949917,84000029,USA,2611.8106803045184,
