Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-07 04:34:13,32.3182,-86.9023,44878,1007,22082.0,21789.0,1,915.2826173191507,455095.0,2914.0,2.243861134631668,84000001,USA,9281.620008219148,6.4931592316948175
Alaska,US,2020-07-07 04:34:13,61.3707,-152.4044,1162,16,548.0,598.0,2,158.84190309550334,123753.0,,1.3769363166953528,84000002,USA,16916.662679671106,
American Samoa,US,2020-07-07 04:34:13,-14.271,-170.132,0,0,,0.0,60,0.0,696.0,,,16,ASM,1250.8761524774895,
Arizona,US,2020-07-07 04:34:13,33.7298,-111.4312,101455,1829,11836.0,87790.0,4,1393.8582857390936,617841.0,5188.0,1.8027697008525947,84000004,USA,8488.322873385516,5.113597161303041
Arkansas,US,2020-07-07 04:34:13,34.9697,-92.3731,24253,292,17834.0,6127.0,5,803.6638562345336,344968.0,1575.0,1.2039747660083289,84000005,USA,11431.093603163095,6.494041974188759
California,US,2020-07-07 04:34:13,36.1162,-119.6816,271035,6441,,264594.0,6,685.9522938003262,4793353.0,,2.376445846477392,84000006,USA,12131.3169345091,
Colorado,US,2020-07-07 04:34:13,39.0598,-105.3111,34240,1691,4603.0,27946.0,8,594.5749206075777,355655.0,5565.0,4.938668224299065,84000008,USA,6175.921243828507,16.252920560747665
Connecticut,US,2020-07-07 04:34:13,41.5978,-72.7554,46976,4338,8210.0,34428.0,9,1317.593786979842,524364.0,10411.0,9.234502724795641,84000009,USA,14707.483577058452,22.162380790190735
Delaware,US,2020-07-07 04:34:13,39.3185,-75.5071,12293,512,6778.0,5003.0,10,1262.4208740516185,127179.0,,4.164971935247701,84000010,USA,13060.556767348147,
Diamond Princess,US,2020-07-07 04:34:13,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-07 04:34:13,38.8974,-77.0268,10515,561,1553.0,8401.0,11,1489.9064681636105,107650.0,,5.335235378031384,84000011,USA,15253.298268931303,
Florida,US,2020-07-07 04:34:13,27.7663,-81.6868,206447,3778,,202669.0,12,961.2139304992886,2233940.0,16352.0,1.8300096392778773,84000012,USA,10401.18891482841,7.920676977626218
Georgia,US,2020-07-07 04:34:13,33.0406,-83.6431,97064,2878,,94186.0,13,914.195469088874,958953.0,11919.0,2.9650539849995883,84000013,USA,9031.880899913283,12.279526910079946
Grand Princess,US,2020-07-07 04:34:13,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-07-07 04:34:13,13.4443,144.7937,301,5,179.0,117.0,66,183.2806629766972,15549.0,,1.6611295681063123,316,GUM,9467.877171510512,
Hawaii,US,2020-07-07 04:34:13,21.0943,-157.4983,1030,19,777.0,234.0,15,72.74668896623423,85058.0,118.0,1.8446601941747571,84000015,USA,6007.463951543643,11.456310679611649
Idaho,US,2020-07-07 04:34:13,44.2405,-114.4788,8052,94,2886.0,5072.0,16,450.571187953432,106465.0,369.0,1.167411823149528,84000016,USA,5957.533721493061,4.582712369597616
Illinois,US,2020-07-07 04:34:13,40.3495,-88.9861,147865,7026,,140839.0,17,1166.8804349430125,1783962.0,,4.751631555811044,84000017,USA,14078.181817751369,
Indiana,US,2020-07-07 04:34:13,39.8494,-86.2583,48524,2698,36788.0,9038.0,18,720.7727496684229,526592.0,7285.0,5.560135190833403,84000018,USA,7821.967764269107,15.013189349600198
Iowa,US,2020-07-07 04:34:13,42.0115,-93.2105,31758,723,25121.0,5914.0,19,1006.5703772024077,335462.0,,2.2765917249197054,84000019,USA,10632.474081399145,
Kansas,US,2020-07-07 04:34:13,38.5266,-96.7265,16638,285,859.0,15494.0,20,571.1021880923238,202219.0,1235.0,1.712946267580238,84000020,USA,6941.201669301696,7.422767159514366
Kentucky,US,2020-07-07 04:34:13,37.6681,-84.6701,17152,593,4785.0,11774.0,21,383.9135048603602,400342.0,2699.0,3.45732276119403,84000021,USA,8960.861728241973,15.735774253731346
Louisiana,US,2020-07-07 04:34:13,31.1695,-91.8678,66327,3296,43026.0,20005.0,22,1426.7571331403371,813645.0,,4.969318678667812,84000022,USA,17502.281236811097,
Maine,US,2020-07-07 04:34:13,44.6939,-69.3819,3423,109,2787.0,527.0,23,254.64733241482742,109550.0,359.0,3.1843412211510373,84000023,USA,8149.756139656542,10.48787613204791
Maryland,US,2020-07-07 04:34:13,39.0639,-76.8021,69904,3246,5029.0,61629.0,24,1156.2636461076338,587361.0,11096.0,4.64351110093843,84000024,USA,9715.383546598565,15.873197528038453
Massachusetts,US,2020-07-07 04:34:13,42.2302,-71.5301,110137,8198,93157.0,8782.0,25,1597.9245855968436,899417.0,11469.0,7.443456785639702,84000025,USA,13049.20723284415,10.413394227189773
Michigan,US,2020-07-07 04:34:13,43.3266,-84.5361,73267,6221,52841.0,14205.0,26,733.6342154493651,1159363.0,,8.490862188980032,84000026,USA,11608.887560921321,
Minnesota,US,2020-07-07 04:34:13,45.6945,-93.9002,38569,1511,33907.0,3151.0,27,683.8921404800881,679693.0,4219.0,3.9176540745158035,84000027,USA,12052.080703138075,10.938836889730094
Mississippi,US,2020-07-07 04:34:13,32.7416,-89.6787,31257,1114,22167.0,7976.0,28,1050.2498362817184,314688.0,3280.0,3.5640016636273475,84000028,USA,10573.66415458366,10.493649422529352
Missouri,US,2020-07-07 04:34:13,38.4561,-92.2884,24211,1051,,23160.0,29,394.48120613390495,426745.0,,4.341002023873447,84000029,USA,6953.156925018102,
Montana,US,2020-07-07 04:34:13,46.9219,-110.4544,1249,23,678.0,548.0,30,116.86243541689669,102926.0,112.0,1.8414731785428344,84000030,USA,9630.250622673746,8.967173738991194
Nebraska,US,2020-07-07 04:34:13,41.1254,-98.2681,20046,283,14641.0,5122.0,31,1036.2860368650254,191740.0,1369.0,1.4117529681732015,84000031,USA,9912.076459567992,6.829292626957996
Nevada,US,2020-07-07 04:34:13,38.3135,-117.0554,22909,537,742.0,21630.0,32,743.761030285479,311481.0,,2.344056920860797,84000032,USA,10112.507288591876,
New Hampshire,US,2020-07-07 04:34:13,43.4525,-71.5639,5914,382,4684.0,848.0,33,434.94536706697227,125235.0,570.0,6.459249239093675,84000033,USA,9210.413095135658,9.63814677037538
New Jersey,US,2020-07-07 04:34:13,40.2989,-74.521,173611,15229,30729.0,127653.0,34,1954.5967830005886,1549209.0,20237.0,8.771909614022153,84000034,USA,17441.745785667725,11.656519460172456
New Mexico,US,2020-07-07 04:34:13,34.8405,-106.2485,13507,515,5860.0,7132.0,35,644.1631625659508,375054.0,2006.0,3.8128377878137263,84000035,USA,17886.72323780337,14.851558451173466
New York,US,2020-07-07 04:34:13,42.1657,-74.9481,397649,32219,71040.0,294390.0,36,2044.0936237843548,4288131.0,89995.0,8.102371689605658,84000036,USA,22042.91029287645,22.631768217699534
North Carolina,US,2020-07-07 04:34:13,35.6301,-79.8064,74775,1432,55318.0,18025.0,37,712.951955762368,1051846.0,,1.9150785690404544,84000037,USA,10028.962391986945,
North Dakota,US,2020-07-07 04:34:13,47.5289,-99.784,3849,80,3350.0,419.0,38,505.0770147310849,113582.0,245.0,2.0784619381657574,84000038,USA,14904.561571105764,6.365289685632633
Northern Mariana Islands,US,2020-07-07 04:34:13,15.0979,145.6739,31,2,19.0,10.0,69,56.216451472508346,8218.0,,6.451612903225807,580,MNP,14902.799941970117,
