Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-06-26 04:33:54,32.3182,-86.9023,33206,896,18866.0,13444.0,1,677.2332677637087,369458.0,2612.0,2.6983075347828707,84000001,USA,7535.061393767521,7.866048304523279
Alaska,US,2020-06-26 04:33:54,61.3707,-152.4044,813,12,513.0,288.0,2,111.13465337060605,99452.0,,1.4760147601476017,84000002,USA,13594.789110717727,
American Samoa,US,2020-06-26 04:33:54,-14.271,-170.132,0,0,,0.0,60,0.0,696.0,,,16,ASM,1250.8761524774895,
Arizona,US,2020-06-26 04:33:54,33.7298,-111.4312,63281,1495,8139.0,53647.0,4,869.3977249012428,464196.0,4406.0,2.3624784690507417,84000004,USA,6377.4426179778675,6.9625954077843275
Arkansas,US,2020-06-26 04:33:54,34.9697,-92.3731,18062,240,12127.0,5695.0,5,598.5146815366405,277380.0,1245.0,1.328756505370391,84000005,USA,9191.451797399699,6.892924371608903
California,US,2020-06-26 04:33:54,36.1162,-119.6816,201112,5806,,195306.0,6,508.9868013753617,3694345.0,,2.886948565973189,84000006,USA,9349.878896968161,
Colorado,US,2020-06-26 04:33:54,39.0598,-105.3111,31463,1669,4392.0,25402.0,8,546.3525329169456,296065.0,5375.0,5.3046435495661575,84000008,USA,5141.145556941662,17.08355846549916
Connecticut,US,2020-06-26 04:33:54,41.5978,-72.7554,45994,4298,8053.0,33643.0,9,1290.050422308218,408943.0,10268.0,9.344697134408836,84000009,USA,11470.12849175957,22.324651041440188
Delaware,US,2020-06-26 04:33:54,39.3185,-75.5071,10980,507,6646.0,3827.0,10,1127.5832747975896,100992.0,,4.617486338797813,84000010,USA,10371.301465242092,
Diamond Princess,US,2020-06-26 04:33:54,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-06-26 04:33:54,38.8974,-77.0268,10159,543,1182.0,8434.0,11,1439.463605332774,86731.0,,5.345014273058372,84000011,USA,12289.213303879993,
Florida,US,2020-06-26 04:33:54,27.7663,-81.6868,114018,3327,,110691.0,12,530.8659846239852,1720644.0,14068.0,2.9179603220544124,84000012,USA,8011.290947458758,12.338402708344296
Georgia,US,2020-06-26 04:33:54,33.0406,-83.6431,71095,2745,,68350.0,13,669.6069281594978,757924.0,10457.0,3.8610310148393,84000013,USA,7138.493022271035,14.708488641957945
Grand Princess,US,2020-06-26 04:33:54,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-06-26 04:33:54,13.4443,144.7937,231,5,174.0,52.0,66,140.65725298211643,11418.0,,2.1645021645021645,316,GUM,6952.487075973184,
Hawaii,US,2020-06-26 04:33:54,21.0943,-157.4983,851,17,686.0,148.0,15,60.10430321384984,71935.0,105.0,1.9976498237367804,84000015,USA,5080.614631831126,12.338425381903644
Idaho,US,2020-06-26 04:33:54,44.2405,-114.4788,4865,90,3610.0,1165.0,16,272.2340821402691,80539.0,300.0,1.8499486125385407,84000016,USA,4506.775075333018,6.166495375128468
Illinois,US,2020-06-26 04:33:54,40.3495,-88.9861,139434,6810,,132624.0,17,1100.3469824897306,1461527.0,,4.884031154524721,84000017,USA,11533.677756338257,
Indiana,US,2020-06-26 04:33:54,39.8494,-86.2583,43655,2586,33036.0,8033.0,18,648.4488992410971,444252.0,6912.0,5.923720077883403,84000018,USA,6598.894064497902,15.833237887985339
