Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-10 02:32:34,32.3182,-86.9023,9668,390,,9278.0,1,206.18921678168658,125494.0,1228.0,4.033926354985518,84000001,USA,2676.407692470105,12.701696317749276
Alaska,US,2020-05-10 02:32:34,61.3707,-152.4044,378,10,318.0,50.0,2,63.237245064399936,26449.0,,2.6455026455026456,84000002,USA,4424.766917217762,
American Samoa,US,2020-05-10 02:32:34,-14.271,-170.132,0,0,,0.0,60,0.0,83.0,,,16,ASM,149.17057565464316,
Arizona,US,2020-05-10 02:32:34,33.7298,-111.4312,10960,532,2684.0,7744.0,4,150.57598749889573,128940.0,1514.0,4.854014598540147,84000004,USA,1771.4660427105493,13.813868613138686
Arkansas,US,2020-05-10 02:32:34,34.9697,-92.3731,3747,88,2968.0,691.0,5,144.7261847790695,65528.0,471.0,2.348545503069122,84000005,USA,2530.9894412070635,12.570056044835871
California,US,2020-05-10 02:32:34,36.1162,-119.6816,66558,2687,,63871.0,6,169.75348788098128,912570.0,,4.037080441119024,84000006,USA,2327.4728873395693,
Colorado,US,2020-05-10 02:32:34,39.0598,-105.3111,19375,967,2974.0,15434.0,8,341.9029355653698,96772.0,3600.0,4.990967741935483,84000008,USA,1707.6970777048755,18.580645161290324
Connecticut,US,2020-05-10 02:32:34,41.5978,-72.7554,32984,2932,5413.0,24639.0,9,925.142912758496,123569.0,9389.0,8.889158379820516,84000009,USA,3465.8920866679173,28.4653165170992
Delaware,US,2020-05-10 02:32:34,39.3185,-75.5071,6277,221,2450.0,3606.0,10,644.6120415213542,29296.0,,3.5207901863947746,84000010,USA,3008.531841390727,
Diamond Princess,US,2020-05-10 02:32:34,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-10 02:32:34,38.8974,-77.0268,6102,311,879.0,4912.0,11,864.6133398701237,28183.0,,5.0966896099639465,84000011,USA,3993.346076296247,
Florida,US,2020-05-10 02:32:34,27.7663,-81.6868,40001,1715,,38286.0,12,188.39420841699788,527731.0,7325.0,4.28739281517962,84000012,USA,2485.474463191188,18.312042198945026
Georgia,US,2020-05-10 02:32:34,33.0406,-83.6431,32588,1403,,31185.0,13,321.3999102313127,235324.0,5987.0,4.305265741990917,84000013,USA,2320.888439771493,18.371793298146557
Grand Princess,US,2020-05-10 02:32:34,,,103,3,,100.0,99999,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-05-10 02:32:34,13.4443,144.7937,151,5,124.0,22.0,66,91.94478441688129,3794.0,,3.3112582781456954,316,GUM,2310.188821706276,
